doc_id,entity,type,start,end,span
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method MDAgents,METHOD,8056,8071," key dimensions of LLM decision-making.
Method MDAgents
(Ours) Single Voting [82] Debate [17] M"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Medical",METHOD,23395,23409,"ted in Table 9-12 in
Appendix.
Category Method
Medical Knowledge Retrieval Datasets
MedQA
T
Pu"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Clinical",METHOD,24504,24519," 65.3 ±3.9 56.4 ±4.5 56.2 ±6.7
Category Method
Clinical Reasoning and Diagnostic Datasets
DDXPl"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method Avg,METHOD,37515,37525,"atively less complex medical knowledge.
Method Avg. Accuracy (%)
MDAgents (Ours) 71.8
+ Me"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method Accuracy,METHOD,84088,84103,"ons dataset with GPT-4o mini
.
Category Method Accuracy (%)
Single-agent
Zero-shot 71.5
3-shot "
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method MedQA,METHOD,84986,84998," test sets with GPT-4 (Vision) (in USD)
Method MedQA PubMedQA Path-VQA PMC-VQA DDXPlus SymCa"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method Accuracy,METHOD,85503,85518,"mpact of Knowledge Enhancement with RAG
Method Accuracy (%)
MDAgents (baseline) 71.8
+ MedRAG 7"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Medical",METHOD,87670,87684," for each benchmark and model.
Category Method
Medical Knowledge Retrieval Datasets
MedQA
T
Pu"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Clinical",METHOD,88697,88712," 55.0 ±2.0 41.8 ±3.0 44.5 ±2.0
Category Method
Clinical Reasoning and Diagnostic Datasets
DDXPl"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Medical",METHOD,90188,90202," for each benchmark and model.
Category Method
Medical Knowledge Retrieval Datasets
MedQA
T
Pu"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Clinical",METHOD,91236,91251,"3.3 ±2.3 55.3 ±2.3 42.6 ±4.2 -
Category Method
Clinical Reasoning and Diagnostic Datasets
DDXPl"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Medical",METHOD,92708,92722,"rformance for each benchmark and model.
Method
Medical Knowledge Retrieval Datasets
MedQA
T
Pu"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,"Method
Clinical",METHOD,92963,92978,"71.0 ±1.6 72.0 ±2.3 62.2 ±7.6 56.2 ±6.7
Method
Clinical Reasoning and Diagnostic Datasets
DDXPl"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method MedQA,METHOD,93634,93646,"re
evaluated with GPT-4o mini.
Category Method MedQA
T
PubMedQA
T
Path-VQA
I T
PMC-VQA
I T
M"
NeurIPS-2024-mdagents-an-adaptive-collaboration-of-llms-for-medical-decision-making-Paper-Conference,Method DDXPlus,METHOD,94303,94317,"Ours) 87.0 71.0 60.0 55.0 56.0
Category Method DDXPlus
T
SymCat
T
JAMA
T
MedBullets
T
MIMIC-CX"
